,Ticker,close,date,high,low,month,open,volume,filename,stockyear,stockmonth,yearly_return,monthly_return,daily_return,cumulative_return,volatility
0,TRENT,2059.1,2023-10-03 05:30:00,2086.3,2052.0,2023-10,2074.3,543387,2023-10-03_05-30-00.yaml,2023,10,0.483633626,0.046428051,0.0,0.0,0.023073799
1,HEROMOTOCO,3015.6,2023-10-03 05:30:00,3064.9,2991.5,2023-10,3058.0,387906,2023-10-03_05-30-00.yaml,2023,10,0.372711898,0.024124552,0.0,0.0,0.016563238
2,BAJAJ-AUTO,5016.45,2023-10-03 05:30:00,5073.0,4997.1,2023-10,5065.0,464531,2023-10-03_05-30-00.yaml,2023,10,0.354992076,0.059324821,0.0,0.0,0.01760937
3,BEL,139.2,2023-10-03 05:30:00,140.6,137.2,2023-10,137.9,19010910,2023-10-03_05-30-00.yaml,2023,10,0.323275862,-0.042744253,0.0,0.0,0.023283392
4,BPCL,170.68,2023-10-03 05:30:00,174.6,170.43,2023-10,174.25,10514554,2023-10-03_05-30-00.yaml,2023,10,0.320189829,0.023142723,0.0,0.0,0.022068851
5,NTPC,241.2,2023-10-03 05:30:00,246.7,240.55,2023-10,244.35,14885044,2023-10-03_05-30-00.yaml,2023,10,0.290008292,-0.02238806,0.0,0.0,0.019475012
6,COALINDIA,291.9,2023-10-03 05:30:00,297.1,290.1,2023-10,297.05,9348540,2023-10-03_05-30-00.yaml,2023,10,0.288112367,0.076567318,0.0,0.0,0.021411449
7,HINDALCO,479.95,2023-10-03 05:30:00,484.55,476.6,2023-10,483.1,4657602,2023-10-03_05-30-00.yaml,2023,10,0.281070945,-0.042608605,0.0,0.0,0.019586836
8,ULTRACEMCO,8304.9,2023-10-03 05:30:00,8377.0,8221.2,2023-10,8289.0,454402,2023-10-03_05-30-00.yaml,2023,10,0.264675071,0.014130212,0.0,0.0,0.014314597
9,TATAMOTORS,620.45,2023-10-03 05:30:00,632.65,618.6,2023-10,632.6,6894577,2023-10-03_05-30-00.yaml,2023,10,0.25707148,0.013216214,0.0,0.0,0.017876505
