,Ticker,close,date,high,low,month,open,volume,filename,stockyear,stockmonth,yearly_return,monthly_return,daily_return,cumulative_return,volatility
0,BAJFINANCE,7967.6,2023-10-03 05:30:00,7975.5,7755.0,2023-10,7780.8,944555,2023-10-03_05-30-00.yaml,2023,10,-0.080306491,-0.059610171,0.0,0.0,0.015918495
1,MARUTI,10346.9,2023-10-03 05:30:00,10709.8,10303.3,2023-10,10709.8,623006,2023-10-03_05-30-00.yaml,2023,10,-0.00431047,0.004387788,0.0,0.0,0.013712494
2,HDFCLIFE,633.55,2023-10-03 05:30:00,637.5,628.55,2023-10,634.45,3454441,2023-10-03_05-30-00.yaml,2023,10,0.020756057,-0.023991792,0.0,0.0,0.014630077
3,TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1220.6,1622290,2023-10-03_05-30-00.yaml,2023,10,0.046415063,-0.068286466,0.0,0.0,0.016019869
4,ITC,439.75,2023-10-03 05:30:00,442.9,439.25,2023-10,441.0,7481883,2023-10-03_05-30-00.yaml,2023,10,0.050824332,-0.025810119,0.0,0.0,0.011943702
5,CIPLA,1182.8,2023-10-03 05:30:00,1185.7,1170.95,2023-10,1184.0,1581125,2023-10-03_05-30-00.yaml,2023,10,0.053686168,0.014541765,0.0,0.0,0.016332416
6,AXISBANK,1041.05,2023-10-03 05:30:00,1044.7,1032.6,2023-10,1035.0,11589322,2023-10-03_05-30-00.yaml,2023,10,0.05883483,-0.056865664,0.0,0.0,0.015624965
7,ICICIBANK,940.3,2023-10-03 05:30:00,951.6,939.0,2023-10,951.6,11131636,2023-10-03_05-30-00.yaml,2023,10,0.059874508,-0.026534085,0.0,0.0,0.012788897
8,DRREDDY,1092.34,2023-10-03 05:30:00,1117.38,1090.0,2023-10,1117.38,2065240,2023-10-03_05-30-00.yaml,2023,10,0.061555926,-0.017238223,0.0,0.0,0.0124901
9,SBIN,602.95,2023-10-03 05:30:00,604.9,589.6,2023-10,596.6,15322196,2023-10-03_05-30-00.yaml,2023,10,0.064847831,-0.062028361,0.0,0.0,0.017939345
